name	address	longitude	latitude
Alamo Motel 	425 Bell Street Los Alamos, CA 93440, USA	-120.2787635	34.74444213
ALC Italian Grocery	8613 3rd Ave, Brooklyn, NY 11209	-74.03110602	40.62300016
Anneliese School Store	1816 S Coast Hwy, Laguna Beach, CA 92651	-117.7710187	33.52885076
Andronico's Community Markets	690 Fremont Ave  Los Altos CA	-122.0970262	37.3608811
Andronico's Community Markets	900 Lighthouse Ave  Monterey CA	-121.9034848	36.6177995
Andronico's Community Markets	100 Center Blvd  San Anselmo CA	-122.5631739	37.9770427
Andronico's Community Markets	375 32nd Ave San Francisco CA 94121	-122.4927714	37.78224208
Andronico's Community Markets	1200 Irving St  San Francisco CA	-122.4711457	37.7641482
Andronico's Community Markets	1550 Shattuck Ave  Berkeley CA	-122.2699082	37.8786289
Andronico's Community Markets	1850 Solano Ave  Berkeley CA	-122.2784148	37.8910562
Andy's Local Market	2202 Fifth Ave, San Rafael, CA 94901	-122.5478322	37.98218597
Andy's Local Market	75 Loch Lomond Drive San Rafael, CA  94901	-122.4839618	37.97342199
Andy's Local Market	195 Tamal Vista Blvd, Corte Madera, CA 94925	-122.5183831	37.93529998
Batch USA	2728 Eugenia Ave, Nashville, TN 37211, USA	-86.75329355	36.11315773
Bellport General (Lateral Objects)	138 S Country Rd, Bellport, NY 11713	-72.9388695	40.75756102
Berkeley Bowl Marketplace	2020 Oregon St  Berkeley CA	-122.2672497	37.857113
Berkeley Bowl Marketplace	920 Heinz Ave  Berkeley CA	-122.2903762	37.8535336
Berkeley Natural Grocery	1336 Gilman St  Berkeley CA	-122.288567	37.880892
Berkeley Organic Market	2642 Ashby Ave, Berkeley, CA 94705	-122.2535609	37.85686492
Bi-Rite Market	3639 18th St  San Francisco CA	-122.4247155	37.7613327
Bi-Rite Market	542 Divisadero St  San Francisco CA	-122.4374981	37.7746874
Bianchini's Market	3130 Alpine Road Portola Valley, CA 94028 Suite 415	-122.1930973	37.40154822
Bianchini's Market	810 Laurel Street San Carlos, CA  94070	-122.2579002	37.50321208
Big John's	1345 Healdsburg Ave, Healdsburg, CA 95448	-122.8739252	38.62663148
Board at Home	California	-119.4179	36.7783
Breezy Willow Market	9090 Frederick Rd Ellicott City, MD 21042	-76.82625688	39.2718592
Briar Patch Food Coop	290 Sierra College Dr GrassÂ Valley, CA  95945	-121.0529106	39.23480099
Broc Cellars	1300 Fifth St Berkeley, CA  94710	-122.3025042	37.87907285
Cal Mart 	1491 Lincoln Ave Calistogoa, CA  94515	-122.5788936	38.5804454
Cal Mart 	3585 California Street San Francisco, CA  94118	-122.4527588	37.78641384
California Organics	135 Argall Way Nevada City, CA  95959	-121.0253231	39.25240758
Canyon Market	2815 Diamond St  San Francisco CA	-122.4336521	37.7340832
Catskills Regional Harvest	27905 NY-28, Andes, NY 13731	-74.78788387	42.22024707
Cheese Plus	2001 Polk St  San Francisco CA	-122.4219061	37.7951937
Chico Natural Foods Cooperative	818 Main St, Chico, CA 95928	-121.8354993	39.72586226
Co-opportunity Markets	1525 Broadway Santa Monica, CA  90404-2717	-118.4828677	34.02444047
Co-opportunity Markets	8770 Washington Blvd Ste C Culver City, CA  90232-2390	-118.3859016	34.02812589
Cowgirl Creamery Cheese Shop at Tomales Bay Foods	80 4th St  Pt Reyes Station CA	-122.8071713	38.0681704
Crop Juice	2320 Gulf Gate Drive Sarasota, FL  34231	-82.51544064	27.25864139
Culture Club	101 1392 E Washington Blvd  Pasadena CA	-118.121902	34.168869
Davis Food Co-op	620 G Street Davis, CA  95616	-121.7399612	38.54937981
Decant SF	1168 Folsom St  San Francisco CA	-122.4096056	37.7757508
Delta Farmer's Market 	2510 State Hwy 12  Isleton CA	-121.6758527	38.1541594
Diablo Foods	3615 Mt Diablo Blvd  Lafayette CA	-122.1244815	37.8906975
Dorcich Family Vineyards	11775 Watsonville Rd  Gilroy CA	-121.655731	37.045376
Draeger's Market	342 1st St, Los Altos, CA 94022	-122.1169571	37.37642144
Draeger's Market	222 E 4th Ave  San Mateo CA	-122.3218342	37.56440365
Draeger's Market	4100 Blackhawk Plaza Circle Danville CA 94506	-121.9187902	37.80123937
Draeger's Market	1010 University Dr, Menlo Park, CA 94025	-122.1855705	37.44913657
Driver's Market	200 Caledonia St  Sausalito CA	-122.4862508	37.859356
Eat with the Seasons	1925 Jerrold Ave San Francisco, CA  94124	-122.3954869	37.74181503
Eastport General Store	510B Montauk Hwy, Eastport, NY 11941	-72.73051371	40.82592441
Eat Like Buddahs	California	-119.4179	36.7783
El Cerrito Natural Grocery	10367 San Pablo Ave  El Cerrito CA	-122.3062782	37.9073284
El Cerrito Natural Grocery Prepared Food Annex	10367 San Pablo Ave  El Cerrito CA	-122.3062782	37.9073284
Elroy's Fine Foods	15 Soledad Dr, Monterey, CA 93940	-121.9038165	36.58450598
Erewhon Market	26767 Agoura Road  Calabasas CA	-118.7075004	34.1408984
Erewhon Market	7660 E Beverly Blvd  Los Angeles CA	-118.1427666	34.0256349
Erewhon Market	4121 Santa Monica Blvd, Silver Lake, CA 90029	-118.2824027	34.09210792
Erewhon Market	585 Venice Blvd  Venice CA	-118.4621998	33.9897855
Erewhon Market	15285 W. Sunset Blvd  Pacific Palisades CA	-118.525608	34.047615
Erewhon Market	2800 Wilshire Blvd  Santa Monica CA	-118.4752192	34.037524
Farm Fresh to You	   CA	-119.4179324	36.778261
Farmer Joe's	3426 Fruitvale Ave, Oakland, CA 94602	-122.2160696	37.79949779
Fig & Honey	938 Fulton Street Fresno, CA 93721	-119.789255	36.733655
Firefly Farms	107 S Main St  Accident MD	-79.3200174	39.628151
Flour Craft	702 San Anselmo Ave, San Anselmo, CA 94960	-122.5630895	37.97623784
Foodstuffs	2106 Central St  Evanston IL	-87.70238682	42.06418459
Foodstuffs	338 Park Ave  Glencoe IL	-87.75906286	42.13426892
Foodstuffs	1454 Waukegan Rd  Glenview IL	-87.79962176	42.08189356
Foodstuffs	255 E Westminster Ave  Lake Forest IL	-87.84072393	42.25311079
Franklin Bros Market	901 Bancroft Way  Berkeley CA	-122.2950939	37.8639044
Golden Sage Market	463 N Palm Canyon Dr, Palm Springs, CA 92262	-116.5470412	33.82968365
Good Earth Natural Foods	720 Center Blvd  Fairfax CA	-122.5831381	37.9862744
Good Earth Natural Foods	201 Flamingo Rd  Mill Valley CA	-122.5257694	37.8809998
Harvest Market	171 Boatyard Dr, Fort Bragg, CA 95437	-123.8063977	39.42161369
Harvest Market	10501 Lansing St, Mendocino, CA 95460	-123.7986707	39.30736
Heath Ceramics	2900 18th St, San Francisco, CA 94110	-122.4112842	37.76180562
Helen's Bottle Shop	2 School St, Manchester-by-the-Sea, MA 01944	-70.77177597	42.5755291
Hive	Freehold, NJ  	-74.25522808	40.23260811
Hudson Greens & Goods	610 1st St #18, Napa, CA 94559	-122.2814172	38.30162075
igourmet	220 Oak Hill Rd Mt. Top, PA  18707	-75.88725659	41.13671284
Jeffries General	1416 2nd St, Napa, CA 94559	-122.2884931	38.29684997
Julie's Coffee & Tea Garden	4316 Telegraph Avenue Oakland CA	-122.2634429	37.83191391
Just Faire 	Emeryville CA 94608	-122.2892	37.8395
La Canada Cheese Shop	242 North Avenue 25, Los Angeles, CA, 90031	-118.2184724	34.07917938
Lakeshore Natural Foods	3321 Lakeshore Ave, Oakland, CA 94610	-122.2438843	37.81103816
Liberty Heights Fresh	1290 S 1100 E, Salt Lake City, UT 84105	-111.8598362	40.7418142
Local Foods	2424 Dunstan Rd, Houston, TX 77005	-95.41655183	29.71951908
Luke's Local	960 Cole St, San Francisco, CA 94117	-122.4496861	37.76502922
Luke's Local	2190 Union St, San Francisco, CA 94123	-122.4352973	37.79722494
Lunchette	25 4th St, Petaluma, CA 94952	-122.6398087	38.23294129
Mainstay Markets	655 22nd St, San Francisco, CA 94107	-122.3879108	37.75785536
Mariposa Baking Company	5427 Telegraph Ave D3  Oakland CA	-122.2623776	37.8397166
Mavens Market	720 West Main St  Bozeman MT	-111.0475184	45.6790116
Mike's Organic Market	377 Fairfield Ave  Stamford CT	-73.552872	41.036705
Milkfarm Artisan Cheese Shop	2106 Colorado Blvd  Los Angeles CA	-118.152759	34.14574
Mill Valley Market	12 Corte Madera Ave  Mill Valley CA	-122.5474092	37.9069772
Miracle Plum	208 Davis St  Santa Rosa CA	-122.7189095	38.4375473
Mollie Stone's Markets	22 Bayhill Shopping Center  San Bruno CA	-122.4273479	37.6260556
Mollie Stone's Markets	1477 Chapin Ave  Burlingame CA	-122.350384	37.5772168
Mollie Stone's Markets	4201 18th St  San Francisco CA	-122.4363285	37.7606086
Mollie Stone's Markets	2435 California Ave  San Francisco CA	-122.434559	37.7885472
Mollie Stone's Markets	270 Bon Air Center  Greenbrae CA	-122.5243141	37.9456634
Mollie Stone's Markets	164 California  Palo Alto CA	-122.142956	37.4289511
Mollie Stone's Markets	49 W 42nd Ave  San Mateo CA	-122.2898904	37.5292284
Mollie Stone's Markets	100 Harbor Dr  Sausalito CA	-122.4995249	37.8666543
Mollie Stone's Markets	635 Portola Dr  San Francisco CA	-122.4523297	37.7447894
Monterey Market	1550 Hopkins St  Berkeley CA	-122.2822415	37.8811336
Morongo Valley Fruit Market	49643 Twentynine Palms Highway, Morongo Valley, CA 92256	-116.5818267	34.04549295
Mouth Foods Inc	68 Jay St #316, Brooklyn, NY 11201	-73.98615058	40.70302729
Mudlab 	440 Grand Ave, Oakland, CA 94610	-122.2529829	37.80956681
Napa Farms Market	San Francisco International Airport International Terminal G  San Francisco CA	-122.3789554	37.6213129
Napa Farms Market	San Francisco International Airport Terminal 2  San Francisco CA	-122.3789554	37.6213129
New Deli	2524 Pacific Ave Venice, CA  90291	-118.4677985	33.9824597
Oakville Grocery	7856 St. Helena Highway  Oakville CA	-122.402946	38.437357
Ojai Rancho Inn	1180 East Ojai Avenue Ojai, CA  93023	-119.2325564	34.44904281
Oliver's Market	546 East Cotati Ave  Cotati CA	-122.698457	38.327714
Oliver's Market	560 Montecito Center  Santa Rosa CA	-122.673525	38.474689
Oliver's Market	461 Stony Point Rd  Santa Rosa CA	-122.743996	38.432526
Oliver's Market	9230 Old Redwood Hwy  Windsor CA	-122.8115059	38.548829
Organic on the Go It's Only Natural	118 South Country Road, Bellport, NY 11713	-72.93467	40.764246	118 South Country Road40.764246
Orso Coffee	1745 Sheepshead Bay Rd, Brooklyn, NY 11235	-73.95114129	40.58502423	Bellport, New York 11713
Other Avenues	3930 Judah St, San Francisco, CA 94122	-122.5043479	37.76062093
Pacific Market 	2804 550 Gravenstein Hwy N, Sebastopol, CA 95472	-122.8380117	38.40584715
Palace Market	11300 CA-1, Point Reyes Station, CA 94956	-122.806152	38.06838649
Para Llevar 	203 E. San Antonio Marfa, TX  79843 US	-104.0191004	30.31022141
Parkside, The Marketplace	43 Arenal Ave  Stinson Beach CA	-122.6396449	37.8976278
Piazza's Fine Foods	3922 Middlefield Rd, Palo Alto, CA 94303	-122.1097944	37.41861948
Piazza's Fine Foods	1218 W Hillsdale Blvd, San Mateo, CA 94403	-122.3259703	37.53385589
Picnic	862 San Pablo Ave, Albany, CA 94706	-122.2991947	37.89040039
Piezzi Provisions	27000 CA-1, Tomales, CA 94971	-122.9046844	38.24645918
Plum Plums Cheese	149 Cherry St, New Canaan, CT 06840	-73.49031987	41.14809423
Poulet	1685 Shattuck Ave, Berkeley, CA 94709	-122.2687204	37.87679653
Preserved 	5032 Telegraph Ave  Oakland CA	-122.2621896	37.8369678
Rainbow Grocery	1745 Folsom St  San Francisco CA	-122.415499	37.7692892
Raxakoul Coffee & Cheese	1578 Hopkins St  Berkeley CA	-122.2816805	37.8816932
Raxakoul Coffee & Cheese	299 Arlington Ave  Kensington CA	-122.2779229	37.9035585
Real Food Bay Area	Palo Alto, CA 94306	-122.143	37.4419
Rebel Cheese	2200 Aldrich St Suite 120  Austin TX	-97.7035713	30.3010368
Rebyl Food	Half Moon Bay CA	-122.4286	37.4636
Redfield Cider Bar & Bottle Shop	5815 College Ave  Oakland CA	-122.2521505	37.8464586
Redhead Creamery	31535 463rd Ave, Brooten, MN 56316	-95.07467503	45.5811939
Ripen	Oakland CA	-122.2711639	37.8043514
Riverdel Essex Market	88 Essex St, Stall 35  New York NY	-73.988107	40.7182408
Road Runner	6554 Park Blvd, Joshua Tree, CA 92252	-116.3156123	34.13388631
Rocky's Market	1440 Leimert Blvd  Oakland CA	-122.212271	37.8118501
Rocky's Market	288 9th Ave, Oakland, CA 94606	-122.2561331	37.78724703
Rooster Brother	29 Main St, Ellsworth, ME 04605	-68.426585	44.540437
Sacramento Natural Foods Coop	2820 R St, Sacramento, CA 95816	-121.4726638	38.56453333
San Francisco Wine & Cheese	141 Gough St San Francisco, CA  94102	-122.4226931	37.77471565
Santa Rosa Community Market	1899 Mendocino Ave  Santa Rosa CA	-122.7175199	38.4587994
Seaside Market	2087 San Elijo Ave  Cardiff By The Sea CA	-117.2819844	33.0220067
Sebastopol Community Market	6762 Sebastopol Ave  Sebastopol CA	-122.8199974	38.4032724
Shelton's Natural Foods Market	428 Center St, Healdsburg, CA 95448	-122.8695898	38.61346211
Sightglass Coffee Roasters	7051 Willoughby Ave, Los Angeles, CA 90038	-118.3429941	34.08720981
Sigona's Farmers Market	399 Stanford Shopping Center, Palo Alto, CA 94304	-122.1729187	37.44250717
Sipside Lounge	119 S. Second St  Oakland MD	-79.4083036	39.4086053
Slo Provisions	1255 Monterey St B, San Luis Obispo, CA 93401	-120.6573149	35.28406497
Sqirl 	720 N Virgil Ave #4, Los Angeles, CA 90029	-118.286679	34.0845145
Star Grocery	3068 Claremont Ave  Berkeley CA	-122.2482619	37.8547489
Surf Market	39250 CA-1  Gualala CA	-123.52967	38.7667921
Sweet Natalie's Gluten Free Bakery	207 S Hale St, Wheaton, IL 60187	-88.10800187	41.8639285
Tahoe House Bakery & Gourmet	625 W Lake Blvd, Tahoe City, CA 96145	-120.1466134	39.1575149
The Butcher's Son	1954 University Ave, Berkeley, CA 94704	-122.2717221	37.87158488
The Cheese Board Collective	1504 Shattuck Ave  Berkeley CA	-122.2694861	37.8799915
The Cheese School	900 North Point St. Suite K201  San Francisco CA	-122.4223763	37.8056739
The Farm Store	168 Main Street Jeffersonville, Vermont 05464	-72.82815199	44.64601012
The Farmer's Stand	6475 US HWY 93S Suite 10, Whitefish, MT 59937	-114.333368	48.395064
The Food Bin	1130 Mission St, Santa Cruz, CA 95060	-122.0375236	36.96992618
The Food Mill	3033 MacArthur Blvd, Oakland, CA 94602	-122.2044678	37.79683683
The Hike House	431 State Route 179 Suite #B1, Sedona, AZ 86336	-111.7615397	34.86134978
The Landing Restaurant 	1217 Graves Harbor Trail Huddleston, VA  24104	-79.56714376	37.0839744
The Local Butcher Shop	1600 Shattuck Ave Suite 120  Berkeley CA	-122.2693854	37.8780587
The Market at Edgewood	2170 W Bayshore Rd, Palo Alto, CA 94303	-122.1256678	37.44830253
The Sunshine Downtown 	213 Stage Road  Pescadero CA	-122.3832521	37.2522809
The Well	2 E 15th St, New York, NY 10003	-73.99295207	40.73652942
Third Culture Bakery	2701 Eighth St, Berkeley, CA 94710	-122.2917014	37.8569235
Thistleco.com	Berkeley CA	-122.273042	37.8715226
Three Leaves Foods	925 Corporate Center Pkwy Suite D, Santa Rosa, CA 95407	-122.7538488	38.42556038
Three Stone Hearth	1581 University Ave  Berkeley CA	-122.2806743	37.8709058
Toby's Feed Barn	11250 CA-1, Point Reyes Station, CA 94956	-122.8054841	38.06797396
Ukiah Natural Foods Coop	721 S State St, Ukiah, CA 95482	-123.2051846	39.14332033
Urban Stead Cheese Co.	3036 Woodburn Ave, Cincinnati, OH 45206	-84.47623979	39.13311786
Village Market	5885 Broadway Terrace  Oakland CA	-122.2364509	37.8408031
Wellspent Market	935 NE Couch St, Portland, OR 97232	-122.6558617	45.52375198
West Coast Provisions	2735 NW Crossing Dr Suite #104  Bend OR	-121.354721	44.0588518
Wholesome Bakery	299 Divisadero St, San Francisco, CA 94117	-122.4373926	37.7720895
Woodlands Market	735 College Ave  Kentfield CA	-122.5499389	37.9521994
Woodlands Market	203 Folsom St  San Francisco CA	-122.3921844	37.7889267
Woodlands Market	1550 Tiburon Blvd  Tiburon CA	-122.4606121	37.8753884
World Foods	830 NW Everett St, Portland, OR 97209	-122.6799884	45.52501262
Your Local Hive	6114 Washington Blvd Culver City, CA 90232	-118.387526	34.004198
Zazzi Foods	1398 University Ave, Berkeley, CA 94702	-122.2843732	37.86995411
Zero Grocery	Berkeley, CA 	-122.273042	37.8715226